Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3093,326,7,418,60,323,203,232,168,1195,Commanche,C7756,1
3073,216,12,598,72,5904,207,252,179,1651,Rawah,C7745,0
3217,42,11,120,5,1132,222,216,128,2405,Rawah,C7202,0
3318,4,12,342,50,3653,204,216,149,2047,Rawah,C8771,0
2970,87,5,150,25,3968,227,232,140,1980,Rawah,C7202,1
3092,136,26,309,101,371,249,220,82,1719,Commanche,C7201,1
2545,136,15,255,93,659,242,233,116,934,Commanche,C2705,2
3219,49,4,60,5,390,222,230,144,1026,Neota,C6101,1
3342,200,10,335,63,3573,216,249,167,1544,Commanche,C7756,0
3269,171,12,420,93,3327,228,245,147,2932,Rawah,C7202,0
3153,357,17,212,54,1237,192,208,152,319,Commanche,C7700,0
2838,74,12,335,48,2583,235,217,112,1598,Rawah,C7745,1
3028,274,11,67,-6,2580,190,243,192,1250,Commanche,C7202,1
2761,166,2,175,16,2163,221,239,155,1392,Rawah,C4744,1
3109,337,6,218,-11,2430,207,231,164,2337,Commanche,C7756,0
3044,60,10,95,5,4290,228,219,123,2516,Rawah,C7745,1
3043,86,4,30,-1,1583,225,233,144,2932,Rawah,C7202,0
3532,262,25,400,181,3361,152,243,225,1231,Rawah,C8776,0
3230,315,8,90,9,5716,198,233,175,816,Rawah,C7202,0
2889,53,25,382,94,3221,225,179,74,841,Commanche,C4703,1
2964,138,32,618,136,4374,249,210,63,1643,Commanche,C4758,1
3035,249,15,450,59,6047,187,250,199,1708,Rawah,C7745,1
2586,295,21,60,25,840,158,230,210,6437,Rawah,C7745,1
3048,89,23,601,-6,503,247,196,65,999,Commanche,C7757,0
3123,75,7,417,0,3323,228,228,133,4709,Rawah,C7102,0
2922,124,11,488,35,1575,238,232,124,1103,Commanche,C7756,1
2987,61,9,95,11,3714,227,222,128,953,Rawah,C7745,0
2848,178,22,85,20,1142,224,247,144,2434,Commanche,C7757,4
2597,145,6,90,-30,3268,228,239,144,2616,Commanche,C4704,0
2740,13,11,60,4,1509,210,218,145,1364,Commanche,C4703,0
2944,14,29,162,67,1254,180,168,112,907,Commanche,C7755,1
2628,48,18,384,18,671,224,199,103,902,Rawah,C7745,1
3123,92,5,604,42,1840,229,231,137,2746,Commanche,C7756,0
3089,48,17,30,0,2796,224,200,104,3945,Rawah,C7201,0
3179,231,12,376,40,2753,200,251,187,726,Commanche,C7756,1
2959,358,28,256,128,5555,165,176,139,4872,Rawah,C7700,1
3083,330,10,277,-37,2040,196,228,171,2052,Commanche,C7756,1
2995,17,16,497,28,624,205,205,133,513,Commanche,C7755,1
3132,352,16,690,-58,3662,191,211,157,2870,Rawah,C7745,1
2998,337,5,170,35,1931,208,232,163,1236,Rawah,C7745,1
3162,31,13,488,49,3639,216,210,128,3483,Rawah,C7745,0
2593,232,11,234,46,1172,203,250,184,1036,Commanche,C2705,2
2998,126,15,108,23,4057,244,229,110,5220,Rawah,C7745,1
2978,81,17,907,180,3274,241,208,93,876,Commanche,C4703,1
3254,280,16,424,136,1148,173,240,206,2024,Rawah,C7745,1
2890,23,4,192,35,3780,218,231,151,5641,Rawah,C7102,1
3027,156,15,693,101,5811,235,241,132,3231,Rawah,C7745,1
2982,41,14,361,43,5901,221,208,119,4146,Rawah,C7745,1
2666,338,21,42,15,295,169,205,172,680,Rawah,C7745,1
2932,112,4,277,64,1708,227,235,142,2783,Commanche,C7756,1
2878,18,10,391,80,3278,213,220,143,510,Commanche,C7757,1
3015,134,13,124,7,618,240,233,120,1495,Commanche,C7202,0
2971,252,11,752,176,2800,196,248,190,1198,Commanche,C7790,1
2920,320,16,85,27,859,176,223,186,2053,Rawah,C7745,0
3408,184,17,424,73,2881,222,249,155,1672,Commanche,C7756,0
2869,44,23,417,64,638,218,183,88,789,Commanche,C7757,0
2980,99,3,60,-2,2794,224,235,146,1797,Rawah,C7745,1
2942,168,10,514,36,5588,228,244,147,2278,Rawah,C7201,1
3033,10,7,511,-6,3180,213,226,151,1050,Commanche,C7756,1
2211,37,28,182,79,973,207,168,81,1574,Cache,C4703,2
2396,348,10,342,155,446,201,224,161,1879,Cache,C2717,2
3162,193,23,175,49,2831,210,251,163,1074,Commanche,C7757,0
3201,49,17,457,59,2927,225,201,104,4350,Rawah,C8772,0
2811,29,13,175,15,1740,215,211,130,1571,Commanche,C7755,1
3126,94,10,268,7,3288,236,226,120,5098,Rawah,C7746,0
2454,31,1,446,184,828,218,235,154,911,Cache,C2717,2
3294,217,5,531,49,5219,215,244,166,1020,Rawah,C7745,1
2640,33,8,134,12,175,219,222,139,481,Commanche,C4704,1
2880,56,11,0,0,3101,227,218,123,2100,Rawah,C7202,1
2812,82,13,124,49,1692,238,216,107,1618,Commanche,C7757,4
3157,140,7,42,0,2287,231,238,140,819,Rawah,C7202,0
3188,86,7,518,95,3025,230,229,132,3421,Rawah,C7746,0
3191,336,14,30,10,1773,188,220,171,1900,Rawah,C7745,0
2939,183,13,192,49,5074,223,248,155,1320,Rawah,C7746,1
2981,287,9,631,-53,1518,195,240,185,1822,Commanche,C7755,1
3275,227,26,134,32,2364,173,253,207,2873,Rawah,C8776,1
2962,170,15,339,54,3781,230,245,143,875,Rawah,C4744,1
2889,30,8,390,65,949,218,223,141,2805,Commanche,C4704,0
3315,51,10,283,112,4777,225,218,126,242,Rawah,C7201,0
2942,101,10,430,-42,3903,236,227,121,5825,Rawah,C7102,1
3158,352,7,153,-19,942,208,229,158,942,Neota,C7201,0
2062,86,33,0,0,379,246,165,0,755,Cache,C2702,2
3192,183,27,295,63,2555,216,246,146,3226,Rawah,C7745,0
2811,182,14,124,29,3547,224,248,154,3166,Rawah,C7746,1
3184,49,5,120,23,976,222,229,143,2165,Neota,C7202,0
2145,330,28,283,136,324,143,193,183,524,Cache,C4703,2
3051,326,2,90,0,2876,215,237,160,691,Commanche,C7202,0
2776,103,4,218,17,1953,227,234,141,939,Rawah,C4744,1
3198,230,15,618,131,6114,196,252,191,1694,Rawah,C7746,1
2900,328,28,382,169,3396,140,195,187,1398,Rawah,C7745,1
2831,308,21,108,24,4628,158,222,202,277,Rawah,C7745,1
3223,26,13,270,11,2676,213,211,132,1256,Commanche,C7201,0
3159,81,25,648,54,859,244,187,57,1862,Rawah,C7745,1
3024,115,14,242,33,5517,243,226,109,4953,Rawah,C7745,0
2852,219,20,446,232,684,193,254,192,1736,Commanche,C7757,1
2997,0,1,150,38,1911,217,236,156,1233,Rawah,C7745,1
3226,289,17,644,79,2591,171,236,204,295,Commanche,C7756,0
3178,49,18,335,85,3963,225,198,101,2877,Rawah,C7746,1
3145,253,10,268,31,5678,198,247,187,3191,Rawah,C7201,1
3237,355,11,60,10,1451,201,220,156,2681,Rawah,C7746,0
2749,82,11,437,32,582,235,220,115,2673,Rawah,C7745,1
2420,277,19,256,114,1123,167,240,212,1414,Cache,C4703,5
2996,335,30,402,154,2780,138,184,176,509,Commanche,C7756,1
3251,36,9,300,-27,1396,220,221,136,1477,Rawah,C7745,0
3080,151,36,607,303,1012,238,213,71,947,Rawah,C7746,1
3164,356,7,481,57,5628,209,227,157,655,Rawah,C7745,0
2342,354,27,192,40,1320,165,182,148,752,Cache,C4703,2
2945,86,10,108,13,3620,235,223,119,6430,Rawah,C7745,1
3179,71,12,30,6,1082,233,216,113,780,Commanche,C7755,0
2991,8,5,351,9,4680,214,230,153,5087,Rawah,C7745,1
3244,120,20,90,6,4619,250,219,88,3747,Commanche,C7201,0
3263,118,19,514,125,800,249,219,91,2188,Rawah,C7201,1
2543,68,8,234,31,295,229,223,127,1333,Rawah,C4744,1
2834,5,20,300,-10,1645,190,197,140,2343,Commanche,C7757,1
3052,302,17,297,79,1022,169,229,200,2329,Commanche,C7201,0
2826,329,10,182,30,2028,197,229,171,2844,Rawah,C7746,0
3256,23,10,255,65,1003,214,218,139,1879,Neota,C7202,0
3034,13,18,190,54,4518,200,200,133,228,Rawah,C7746,1
2962,44,15,573,0,907,222,205,113,633,Commanche,C7755,1
3045,247,10,540,76,5511,200,248,186,1092,Rawah,C7745,1
2506,140,27,361,-59,350,248,221,83,1136,Commanche,C2705,2
3123,106,28,277,56,1579,254,193,47,1456,Rawah,C7745,0
3006,79,11,192,9,4283,235,220,115,721,Rawah,C7745,1
3037,65,13,391,19,4173,232,214,112,3482,Rawah,C7745,1
2947,200,9,95,14,4484,217,248,166,4662,Rawah,C7745,1
2863,51,17,175,66,2188,226,202,104,2279,Commanche,C7757,4
2739,34,7,497,40,120,219,225,142,808,Commanche,C4704,4
3141,54,9,30,3,1945,225,221,130,470,Rawah,C7202,0
2922,320,14,42,7,4666,182,225,183,2300,Rawah,C7745,1
3170,137,18,711,234,1158,245,230,106,2210,Commanche,C7757,1
2978,208,19,30,2,1509,204,254,179,537,Commanche,C7755,1
2804,321,26,459,201,1440,144,204,195,1167,Commanche,C7757,1
2727,46,19,42,16,1260,222,195,100,2514,Rawah,C7745,1
3226,190,22,201,76,2509,214,250,159,1134,Commanche,C7757,0
3228,142,20,268,63,1537,244,231,107,1588,Neota,C7202,0
3200,262,7,150,-18,3476,204,244,179,1627,Rawah,C7201,0
2783,62,21,295,147,301,232,191,81,1650,Rawah,C7746,4
2800,104,6,277,32,3031,230,233,136,5989,Rawah,C4744,1
3268,341,17,446,72,4380,182,212,168,1048,Commanche,C8772,0
3148,123,15,150,31,661,244,228,110,1883,Commanche,C7756,0
2689,109,14,361,-26,1290,243,224,108,1201,Rawah,C7202,1
3067,192,14,42,1,1527,218,250,163,2347,Commanche,C7757,0
2993,67,17,234,57,633,235,205,97,1617,Commanche,C7756,1
2708,86,3,212,19,1879,224,234,145,5825,Rawah,C4744,1
2375,103,14,362,43,511,243,221,103,1211,Cache,C4703,5
3088,39,3,42,0,3946,220,232,149,1158,Rawah,C7201,0
2372,87,25,150,67,1136,247,191,58,1250,Cache,C2717,5
2348,283,13,150,54,907,185,240,195,589,Cache,C2717,2
3155,118,29,234,78,3798,254,200,52,2374,Rawah,C8772,0
3134,40,16,108,1,1624,220,204,115,153,Rawah,C7202,0
2931,112,3,457,49,3219,224,236,148,1894,Rawah,C7202,1
3145,198,10,90,13,994,217,249,166,1666,Commanche,C7202,0
3027,333,13,180,37,256,190,223,172,361,Neota,C7201,0
3276,291,9,514,1,2507,194,239,184,603,Commanche,C7756,0
3153,142,10,216,37,437,235,238,132,2316,Rawah,C7201,0
2820,57,11,404,32,1027,228,216,120,1410,Commanche,C4704,0
2855,264,19,212,68,2282,170,245,212,1057,Commanche,C7755,1
3139,207,16,228,40,2041,208,253,176,671,Rawah,C7201,0
2765,95,10,390,1,713,237,225,118,511,Commanche,C4704,1
3179,125,25,297,67,3524,252,213,72,309,Commanche,C7757,0
3041,35,8,450,63,1384,219,223,139,2427,Rawah,C7745,1
3040,37,18,240,34,5074,216,197,110,2763,Rawah,C7745,1
2782,63,5,127,24,2881,225,229,139,4761,Rawah,C7700,1
2998,130,20,85,-1,800,248,225,97,1379,Commanche,C7757,1
3001,243,7,674,105,5952,207,246,176,6407,Rawah,C7745,1
3332,242,9,42,2,4532,202,248,184,3389,Commanche,C8703,6
2904,47,8,0,0,2049,223,223,135,2254,Rawah,C7102,1
3285,241,5,553,96,600,211,244,171,1195,Neota,C7202,0
2815,3,21,42,10,1064,187,196,142,1873,Commanche,C7700,1
2710,58,20,342,183,912,230,195,89,834,Commanche,C7757,1
2596,277,4,258,51,674,209,240,169,934,Rawah,C4201,1
2493,59,21,150,50,807,231,190,83,841,Commanche,C4703,1
3422,102,11,566,189,2182,239,225,116,1422,Rawah,C8772,6
3324,157,19,658,54,3946,238,239,123,1546,Commanche,C7757,1
3091,170,19,1024,148,3230,230,244,137,1855,Commanche,C7757,1
3277,92,14,42,7,3331,241,217,103,1353,Commanche,C7201,0
2972,117,28,150,78,957,254,202,56,1395,Commanche,C7757,1
2962,301,8,0,0,4875,197,237,179,6000,Rawah,C7102,1
3222,154,8,212,-7,4441,230,241,143,907,Rawah,C7745,1
2166,300,34,212,130,552,108,204,226,459,Cache,C4703,2
3299,281,18,582,129,4290,167,239,210,2452,Commanche,C8771,0
2856,246,17,433,215,1530,184,251,203,1450,Commanche,C2705,1
2840,261,19,150,13,2577,169,246,213,319,Commanche,C7757,0
2733,30,30,480,180,920,196,162,85,2003,Commanche,C4758,1
2341,319,29,67,40,1061,133,199,200,932,Cache,C4703,5
3050,188,7,300,24,745,221,245,159,883,Commanche,C7756,0
2850,32,6,150,20,2822,219,227,145,2708,Rawah,C4744,1
2766,41,9,67,11,1124,221,220,133,899,Commanche,C7755,1
2980,77,9,242,41,497,232,224,125,2132,Commanche,C7756,1
3214,61,12,150,2,1091,230,215,116,2377,Rawah,C7202,0
3184,85,11,134,26,1006,236,222,116,2140,Neota,C7202,0
2861,58,27,120,51,1473,227,172,61,1047,Commanche,C7757,1
2889,53,25,212,84,3542,224,177,72,2542,Rawah,C7745,1
3112,270,9,190,-7,1702,195,244,187,854,Commanche,C7202,0
2885,353,19,212,46,595,184,204,155,499,Commanche,C7755,1
2845,86,16,272,78,1718,242,211,95,1779,Commanche,C7757,1
2139,24,28,42,6,319,192,166,97,824,Cache,C4703,5
3042,187,16,845,121,3060,220,250,158,1932,Commanche,C7757,1
3026,342,15,67,16,4743,188,217,167,459,Rawah,C7746,0
2759,359,13,362,110,1994,200,216,153,2100,Commanche,C4703,5
3172,324,16,268,72,3633,178,221,182,3301,Commanche,C7700,0
2572,60,7,300,2,2737,225,226,135,2700,Commanche,C4704,0
2781,321,25,433,182,1500,149,207,194,1195,Commanche,C7757,1
2823,329,18,277,74,2397,173,215,180,765,Commanche,C7700,1
3042,287,13,404,88,644,183,239,196,730,Neota,C7201,1
3207,18,13,192,33,569,210,213,138,1120,Neota,C7700,1
2034,48,27,162,105,175,219,171,71,458,Cache,C2702,2
2972,52,15,85,13,5261,227,206,108,2454,Rawah,C7745,0
3204,277,6,0,0,1339,204,241,176,2692,Commanche,C7202,0
2911,239,27,30,12,5669,160,250,218,1061,Rawah,C7745,1
2903,96,14,576,33,4385,242,218,103,5485,Rawah,C7745,0
3183,17,7,0,0,4380,214,225,147,1698,Rawah,C7202,0
3124,315,7,511,-22,2805,202,235,172,469,Commanche,C7202,0
3241,84,9,395,36,3362,233,225,125,4495,Rawah,C8772,0
2615,158,9,300,71,2673,231,242,143,778,Commanche,C2703,2
2682,70,26,216,42,1034,237,179,56,1974,Rawah,C4744,1
2561,206,27,192,73,1199,192,252,180,1173,Commanche,C2704,1
2662,221,5,360,-19,1495,214,244,167,5820,Rawah,C7745,1
2975,337,7,301,0,2877,204,230,165,2045,Rawah,C7745,1
3165,82,31,90,49,1396,245,171,33,785,Commanche,C8772,6
3054,121,26,127,22,2780,253,209,66,2942,Rawah,C7745,0
3038,9,8,379,105,582,211,224,150,1633,Commanche,C7756,1
2479,247,13,30,-1,981,192,250,195,1230,Commanche,C2703,5
2933,114,9,153,20,3650,235,232,128,4447,Rawah,C4744,1
3031,21,7,300,8,1795,215,224,146,1359,Commanche,C7755,1
2743,180,7,295,24,2430,223,244,156,1695,Rawah,C4744,1
2975,20,20,42,0,4338,202,193,122,3733,Rawah,C7102,0
2947,3,19,0,0,469,191,200,143,2350,Rawah,C7745,0
2744,65,24,0,0,1871,235,185,69,1804,Commanche,C4758,1
2713,156,14,67,12,1579,235,241,132,2443,Commanche,C2705,1
3147,153,7,134,5,1022,229,240,145,2047,Rawah,C7201,0
2404,171,17,0,0,1414,229,246,142,680,Commanche,C6101,5
3031,346,6,242,11,4347,209,231,160,1176,Rawah,C7745,1
3286,40,14,391,89,4284,220,208,119,1895,Commanche,C8772,0
3430,256,11,949,256,1040,194,247,191,693,Neota,C8776,0
2866,233,17,162,31,702,191,253,196,560,Commanche,C4758,0
3316,330,18,124,38,1911,176,216,179,1945,Neota,C7202,0
3027,222,7,509,107,3127,211,247,172,860,Commanche,C7756,1
2996,357,12,60,1,190,200,217,154,811,Rawah,C7201,0
3273,62,18,268,101,3486,233,199,92,573,Commanche,C7756,0
3197,359,9,446,53,1062,206,223,155,2509,Neota,C7202,0
2993,56,12,108,34,1869,228,215,118,1261,Rawah,C7745,1
3037,213,19,845,3,6071,200,254,184,3268,Rawah,C7745,1
3245,84,12,335,64,1681,237,219,111,1318,Neota,C7757,0
3043,76,27,306,107,1584,241,180,52,2580,Commanche,C7757,0
3035,92,23,277,-38,618,248,199,67,1689,Rawah,C7745,1
2852,274,12,90,6,768,187,243,195,633,Commanche,C7202,0
3204,297,24,390,125,4444,145,224,216,1339,Rawah,C7745,0
2976,322,8,426,80,1516,199,232,173,2429,Commanche,C7756,1
2948,69,17,0,0,2711,236,204,94,1482,Commanche,C7700,0
3227,258,14,361,54,2925,186,247,199,886,Commanche,C7756,1
2254,329,25,182,62,1158,154,202,184,342,Cache,C4703,2
3424,114,37,300,105,2358,253,177,16,912,Commanche,C8776,6
3074,315,8,95,16,4938,199,234,174,2780,Rawah,C7201,0
3253,305,10,319,46,1155,194,235,181,2496,Commanche,C7756,1
2877,353,17,256,24,932,188,207,155,2021,Commanche,C7700,1
3237,293,16,270,53,153,174,235,201,1718,Neota,C7202,0
3117,20,8,247,38,1869,215,224,145,1689,Rawah,C7745,0
3224,63,12,85,15,5286,230,216,117,446,Rawah,C7201,0
3264,152,24,190,80,1727,242,231,104,426,Commanche,C8772,6
2917,115,25,474,141,2131,253,206,64,1878,Commanche,C4758,1
2482,63,19,234,88,703,233,196,87,1053,Commanche,C4703,5
3244,104,2,450,0,4414,222,236,150,2341,Rawah,C7201,0
2556,20,13,30,1,1153,210,211,136,1130,Commanche,C7757,1
2806,81,11,295,72,1201,235,221,117,2674,Commanche,C4704,1
3259,153,2,362,25,242,222,239,153,845,Commanche,C7756,1
3203,126,17,42,13,2805,246,226,102,2860,Commanche,C7757,0
2977,310,4,331,40,3882,209,237,167,2317,Rawah,C7745,1
3078,164,10,306,-29,560,229,243,146,1698,Rawah,C7201,0
2522,15,29,270,63,1465,181,166,108,480,Commanche,C4703,2
3243,90,10,518,36,1384,236,224,118,2649,Commanche,C7757,1
2874,18,34,484,119,1276,172,148,93,990,Commanche,C7710,1
2291,76,17,60,19,1150,238,207,93,741,Cache,C2704,2
3255,174,7,484,76,4743,225,244,153,2947,Rawah,C7201,0
3013,7,15,459,170,1989,202,210,144,2936,Commanche,C7756,1
3392,306,10,404,42,1674,192,235,183,684,Commanche,C8771,6
3139,77,10,485,-19,4065,233,221,119,4518,Rawah,C7202,0
3289,0,7,366,82,1020,210,227,155,2232,Rawah,C8776,6
2813,286,22,90,23,792,152,233,218,2032,Rawah,C7746,1
2898,349,16,85,11,524,189,212,160,2461,Rawah,C7745,0
2149,17,35,150,27,582,170,146,93,547,Cache,C4703,2
2640,1,12,0,0,2274,203,217,152,2521,Commanche,C6102,5
3113,261,12,700,106,6152,191,246,194,1482,Rawah,C7746,1
2844,319,20,0,0,5499,165,218,191,4696,Rawah,C7746,0
3013,98,17,210,-28,589,245,214,92,612,Rawah,C7745,0
3186,145,22,339,93,270,244,230,103,3009,Neota,C7701,0
2982,86,10,469,-12,4452,235,223,119,2992,Rawah,C7202,0
3270,174,2,228,2,926,220,240,156,2353,Rawah,C8771,0
2937,122,9,228,65,3336,235,233,129,2185,Commanche,C2705,1
2995,51,10,283,13,4224,225,219,127,4112,Rawah,C7102,0
2908,72,11,218,44,3156,233,218,116,2458,Rawah,C4744,1
2784,106,12,175,33,1909,240,226,114,618,Commanche,C7755,1
2970,51,18,120,19,658,226,198,100,631,Rawah,C7745,0
3179,238,4,234,-1,4470,212,244,170,1104,Commanche,C7202,0
2955,34,5,175,-4,1084,219,228,145,2233,Rawah,C7202,1
3096,45,8,190,49,2890,223,223,135,5929,Rawah,C7745,0
2988,254,15,234,29,5643,185,249,201,2307,Rawah,C7745,0
2363,59,22,108,24,875,230,187,78,992,Cache,C4703,5
3150,45,3,67,2,5016,220,233,150,2820,Rawah,C7202,1
2862,336,8,0,0,2825,202,229,166,2315,Commanche,C7201,0
2319,14,20,127,75,1410,197,194,128,1168,Cache,C2703,2
3032,15,15,631,4,2565,206,209,138,2405,Commanche,C7700,1
2958,29,6,402,50,3576,218,227,145,1657,Rawah,C7202,1
2694,97,8,30,4,1594,233,229,129,2356,Commanche,C6102,1
3061,48,12,306,35,4736,224,214,122,1048,Rawah,C7745,0
3001,279,9,664,105,5810,196,241,184,5470,Rawah,C7745,1
3301,283,9,175,29,3543,194,241,186,1816,Commanche,C7756,0
3001,207,17,420,-20,1123,207,253,177,426,Commanche,C7757,1
2854,13,12,313,56,2550,208,216,143,3207,Rawah,C4744,1
3300,66,9,30,4,3824,229,223,127,2281,Rawah,C8771,6
3131,309,15,306,35,1719,179,230,191,2627,Commanche,C7756,0
3174,90,9,234,42,513,233,227,125,5496,Neota,C7202,0
2996,80,22,30,-8,570,243,196,73,671,Rawah,C7745,0
3381,285,3,300,18,558,212,239,165,890,Neota,C8776,1
2827,75,11,404,63,1849,234,218,115,1914,Rawah,C7745,1
2742,51,10,124,1,1429,225,219,127,2666,Rawah,C7745,1
2926,131,13,616,46,4518,241,232,118,5389,Rawah,C4744,1
2926,241,12,301,20,5739,197,250,190,2440,Rawah,C7746,1
3021,20,6,42,1,1774,216,228,149,1746,Rawah,C7202,1
3018,111,20,180,-19,524,250,214,84,1395,Rawah,C7745,0
2301,118,27,95,53,912,254,204,60,1082,Cache,C4704,5
2782,92,9,216,47,1679,234,227,124,2282,Rawah,C4744,1
2930,274,32,907,544,984,118,228,239,1995,Commanche,C7756,1
3160,292,15,390,66,2366,175,236,200,918,Commanche,C7756,1
3225,88,15,470,120,1130,241,214,99,1871,Rawah,C7745,0
2473,176,28,228,87,242,222,242,134,900,Commanche,C2705,2
2658,315,2,301,-23,1510,214,237,161,5754,Rawah,C7745,1
3122,134,28,240,48,4331,251,214,71,859,Rawah,C7746,1
2966,342,12,295,50,1914,194,221,165,907,Rawah,C7746,0
2866,0,19,518,174,2586,188,200,147,2038,Rawah,C7745,1
2944,209,9,60,7,3882,214,248,170,2051,Rawah,C4744,0
2132,301,23,108,68,600,151,223,210,272,Cache,C4703,2
3003,85,15,42,4,295,241,212,97,1318,Commanche,C7756,1
3263,124,10,360,87,3320,238,233,125,2977,Rawah,C7202,0
3280,102,13,309,108,3492,242,222,107,601,Commanche,C7756,0
3100,111,18,350,-25,1064,248,218,92,942,Rawah,C7745,0
2984,110,18,300,91,2003,248,217,91,1489,Commanche,C7755,0
3083,335,15,0,0,2603,186,219,172,716,Commanche,C7201,0
2064,44,21,457,98,511,220,190,96,190,Cache,C2706,2
2790,79,11,216,39,1867,235,220,115,624,Commanche,C7755,1
2944,319,18,752,231,418,171,220,189,1572,Commanche,C2705,1
3094,5,22,900,335,1019,186,191,137,1610,Commanche,C7757,1
3169,334,9,0,0,4937,199,228,168,900,Rawah,C7201,0
3050,205,13,301,28,1290,212,252,172,595,Commanche,C7757,1
2588,324,29,124,-24,1422,136,196,192,1756,Commanche,C4758,5
3098,243,12,124,12,1360,197,249,190,2497,Commanche,C7757,0
2728,127,7,150,12,1541,232,236,136,2207,Rawah,C4744,1
2461,192,24,285,91,1213,210,250,162,1376,Commanche,C2705,2
2553,96,15,192,14,2671,243,217,100,2590,Commanche,C6102,1
2428,297,18,85,23,930,168,232,203,1106,Cache,C4703,2
3107,114,14,228,52,594,243,225,108,1524,Commanche,C7756,0
2853,357,10,268,19,1899,205,222,155,1643,Commanche,C7755,1
3303,95,24,319,85,1507,250,195,59,1370,Neota,C7757,0
3351,139,10,30,0,4386,235,237,132,4030,Commanche,C7202,0
2913,67,18,301,38,361,235,200,90,1397,Rawah,C7745,1
3174,333,3,30,1,531,212,235,161,1184,Neota,C7202,0
3022,327,20,150,42,4540,168,213,183,162,Rawah,C7746,1
3297,217,10,484,70,4071,210,250,175,2197,Rawah,C7202,0
2763,156,10,30,0,1179,232,242,141,930,Commanche,C2703,2
3194,45,8,42,-4,5072,223,222,134,722,Rawah,C7201,0
2987,335,15,335,64,1316,184,218,173,3077,Rawah,C7201,0
2613,184,13,30,-11,2583,222,248,157,1905,Commanche,C4704,1
2694,28,7,335,21,1705,218,225,143,6119,Rawah,C4744,1
3121,214,19,150,61,2490,199,254,185,918,Commanche,C7202,1
3102,261,10,190,23,1846,197,245,187,618,Commanche,C7202,0
2616,56,5,350,62,836,224,228,140,721,Rawah,C4744,1
3121,79,10,420,25,2012,233,223,121,2349,Rawah,C7745,1
3282,32,6,120,28,2208,219,226,144,2080,Neota,C7202,1
2929,32,4,382,46,4495,219,230,147,5570,Rawah,C4744,0
3123,157,10,277,45,170,231,242,142,3464,Neota,C7201,1
3051,147,26,228,57,451,244,226,94,1661,Commanche,C7201,1
2521,109,10,30,-6,1276,238,229,121,1475,Commanche,C2705,2
