Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
2944,320,12,180,45,3345,188,228,180,2026,Rawah,C7745
3105,230,15,30,1,2353,196,252,191,313,Commanche,C7755
2911,18,13,671,295,1155,209,212,138,700,Commanche,C7757
2761,126,8,212,31,2568,234,235,132,2156,Commanche,C4704
2892,120,15,67,18,1620,245,226,106,2177,Commanche,C7755
3169,216,4,323,67,1165,215,244,165,845,Commanche,C7756
3149,60,7,0,0,4406,225,226,135,1905,Rawah,C7202
3178,127,5,162,5,5218,228,237,143,2611,Rawah,C7202
2673,129,3,30,-1,67,225,237,147,1211,Commanche,C6102
3283,351,6,376,91,960,209,229,159,2222,Rawah,C8772
3043,22,14,424,18,1158,210,208,132,1871,Commanche,C7756
3151,279,9,150,4,2444,195,242,186,582,Commanche,C7756
3147,11,8,182,52,4651,211,223,148,1413,Rawah,C7745
2926,218,11,379,20,5746,208,251,178,2334,Rawah,C7746
2982,189,10,192,29,4076,221,248,160,875,Rawah,C7745
3009,52,19,0,0,993,226,197,97,2336,Commanche,C7700
2408,323,22,162,43,1057,158,211,189,825,Cache,C4703
3390,201,4,805,184,1155,218,243,161,2101,Commanche,C7756
2936,135,15,342,131,2845,243,232,114,1189,Commanche,C4703
2886,350,18,360,88,3360,185,208,159,579,Commanche,C4703
2789,140,11,285,33,1856,236,237,130,1967,Rawah,C4744
3256,342,7,150,26,1579,206,230,162,1101,Commanche,C8771
3311,203,7,402,16,1140,217,247,166,1230,Commanche,C7756
2167,117,7,0,0,309,233,233,132,488,Cache,C2703
3266,261,11,319,46,3490,194,246,191,1812,Rawah,C7745
2727,58,7,150,8,2070,226,225,133,1273,Rawah,C4744
3247,125,17,540,109,720,246,226,102,2097,Rawah,C7201
3186,68,3,30,0,1476,222,234,148,660,Neota,C7756
2892,6,21,60,19,234,189,194,138,2142,Rawah,C7745
3054,298,18,450,57,2635,167,231,203,1082,Commanche,C7756
2739,122,11,450,115,1535,238,232,123,601,Rawah,C7202
2820,38,26,551,252,1348,210,173,84,828,Commanche,C7757
2742,119,8,0,0,1681,235,233,129,792,Rawah,C7102
2796,39,16,30,10,2251,219,203,115,3220,Rawah,C7745
2771,78,14,190,21,1626,237,214,105,1961,Rawah,C7745
3313,149,42,153,84,3896,234,198,48,3215,Commanche,C7757
3271,18,8,60,12,3331,214,223,145,2003,Rawah,C7745
1914,24,27,150,63,134,194,171,101,671,Cache,C2706
2690,108,17,569,282,551,247,218,93,1485,Commanche,C2705
3380,82,10,190,31,2766,235,222,118,1592,Commanche,C8771
3138,277,17,713,209,6057,170,241,209,1380,Rawah,C7745
2403,37,23,170,57,488,212,183,96,659,Commanche,C4703
3197,40,18,417,58,636,218,197,107,2748,Neota,C7202
3259,354,14,706,183,875,196,215,156,2103,Commanche,C7757
2998,324,22,430,144,5162,159,211,188,553,Rawah,C7745
2602,197,25,247,95,1924,204,251,168,1642,Commanche,C2703
2646,64,10,60,0,1504,230,219,122,5238,Rawah,C7745
3066,41,9,60,0,1358,221,221,134,3132,Commanche,C7202
3446,313,12,713,248,870,187,230,183,1020,Neota,C8776
2429,121,15,60,-2,1786,244,227,108,153,Commanche,C2703
3212,312,6,469,28,808,204,236,170,1830,Commanche,C7755
2667,359,9,268,81,1172,206,223,155,1087,Rawah,C7745
3276,354,9,446,147,4050,206,225,158,1793,Commanche,C8772
2872,345,26,390,85,1261,160,190,162,1129,Commanche,C7757
3204,29,6,85,-12,2644,218,226,144,2484,Rawah,C7201
2983,80,14,30,8,1891,238,213,102,3665,Rawah,C7745
3126,238,9,247,45,5663,204,248,181,2613,Rawah,C7746
2659,84,11,85,12,2505,236,221,115,1055,Commanche,C4703
2846,29,35,553,249,1243,185,142,69,722,Commanche,C7757
3193,275,18,732,141,6189,170,242,210,1518,Rawah,C7745
3074,5,11,607,-14,2755,206,219,150,955,Commanche,C7202
2696,144,13,90,-1,2040,238,237,126,636,Commanche,C4704
3008,225,10,752,89,5867,207,250,179,3395,Rawah,C7102
2692,15,16,108,35,1816,204,205,135,2301,Commanche,C4703
3235,38,21,153,-1,2580,215,190,101,1452,Commanche,C7700
3126,110,15,376,85,810,244,222,103,1521,Commanche,C7756
2967,188,11,127,17,1158,221,248,160,603,Commanche,C4758
3017,58,11,95,0,1689,228,218,122,1836,Rawah,C7746
2795,194,14,67,14,3539,217,251,164,3107,Rawah,C7746
3199,97,18,268,72,792,246,212,89,750,Commanche,C8772
2915,148,12,210,27,2478,236,239,132,2532,Commanche,C7702
2257,118,22,150,74,1338,251,214,78,960,Cache,C2704
2804,72,11,170,9,1719,233,219,117,1771,Rawah,C4744
2468,193,14,525,104,787,218,250,163,1275,Cache,C2717
2604,85,13,297,97,1476,238,218,109,1742,Commanche,C2703
3034,308,8,240,56,2506,198,235,177,1034,Rawah,C7745
3349,346,32,201,66,1092,140,170,157,1513,Neota,C8772
3205,67,20,437,103,4947,236,197,85,3159,Rawah,C7746
3244,242,10,616,146,3547,200,249,186,1992,Commanche,C7757
2978,45,3,150,33,3414,220,232,149,6555,Rawah,C7745
3216,76,8,511,33,5635,230,226,128,2064,Rawah,C7201
2787,76,22,42,5,1371,241,193,71,1842,Commanche,C4758
3359,339,3,874,131,2227,212,234,160,1050,Commanche,C7756
3032,5,13,60,13,1184,204,215,148,2428,Commanche,C7700
3232,63,11,30,4,2078,230,218,121,134,Commanche,C8703
3237,45,19,540,241,815,222,196,102,2039,Rawah,C7746
3084,51,6,342,73,1652,223,227,139,2213,Rawah,C7745
2949,296,7,384,33,5294,200,238,178,2115,Rawah,C7745
3141,326,7,30,1,780,203,232,168,1172,Neota,C7202
2650,162,3,85,8,1182,222,240,153,6132,Rawah,C4744
2330,327,16,0,0,646,181,221,179,351,Cache,C4703
3196,337,19,216,39,4518,176,211,173,1639,Rawah,C8771
3137,348,8,60,11,1464,205,227,160,633,Commanche,C7103
2588,158,22,95,20,579,238,238,119,1926,Rawah,C7746
3218,266,20,362,87,1773,165,244,216,2167,Commanche,C7755
3203,72,13,404,15,201,235,214,109,2084,Neota,C8776
2755,55,8,60,-5,1249,225,224,133,939,Commanche,C4704
2446,287,16,60,13,297,173,237,204,67,Cache,C4703
3015,288,4,90,8,5245,209,239,169,2430,Rawah,C7202
3006,28,11,95,11,1082,216,216,135,418,Commanche,C7700
3005,7,17,0,0,2024,196,203,141,3428,Rawah,C7201
2989,51,22,510,201,2122,225,188,87,2060,Commanche,C7757
2955,100,12,319,23,4542,239,224,113,4019,Rawah,C7745
2995,109,10,600,10,4440,238,229,121,3092,Rawah,C7745
3131,94,12,342,24,2134,239,221,110,2315,Rawah,C7745
3228,177,5,283,15,5627,222,243,155,1209,Rawah,C7202
2972,223,31,541,35,3678,164,250,206,1337,Commanche,C4758
3183,77,17,85,5,1463,239,206,92,771,Commanche,C8772
2600,21,7,0,0,1598,215,224,146,1233,Rawah,C6101
3062,270,16,443,146,3114,177,244,205,2110,Commanche,C7755
2895,257,6,60,2,2165,205,244,177,1468,Commanche,C7202
2913,135,2,170,-2,4074,222,238,151,6447,Rawah,C7102
2941,84,21,531,-83,713,244,200,76,1695,Rawah,C7746
2962,265,20,242,53,5150,167,245,215,1371,Rawah,C7746
2903,286,7,313,59,2147,201,240,179,1282,Commanche,C7755
3008,60,13,376,41,4796,230,212,113,1505,Rawah,C7745
3728,18,17,934,319,4841,204,201,130,2998,Commanche,C8776
2996,147,16,0,0,726,239,237,123,1406,Commanche,C7757
3267,20,17,690,39,3097,207,203,129,767,Commanche,C7700
2902,69,7,0,0,3487,227,227,134,1430,Rawah,C7202
3081,267,12,90,15,5559,189,245,195,2368,Rawah,C7202
2923,21,6,120,10,3550,216,227,148,4235,Rawah,C4744
2989,358,5,598,53,4312,211,230,156,4830,Rawah,C4744
3074,113,13,420,19,577,242,226,110,1231,Commanche,C7756
2886,45,4,446,67,1142,221,231,147,2691,Commanche,C7756
2929,204,6,120,10,5220,217,245,164,3520,Rawah,C7745
3031,67,15,30,-9,3642,234,208,102,5322,Rawah,C7745
2526,218,30,60,20,1661,173,251,199,430,Commanche,C2705
3257,111,27,638,141,2776,254,199,54,2743,Commanche,C7757
2670,61,14,295,75,1276,231,209,107,2071,Rawah,C7746
2773,12,8,30,-3,1974,212,224,149,2924,Rawah,C7745
2922,67,12,153,9,4898,232,216,115,2670,Rawah,C7202
3295,179,17,268,46,3283,225,248,150,1183,Commanche,C7756
3175,112,8,30,0,3445,235,231,128,4686,Rawah,C7745
2627,28,15,0,0,1592,213,207,126,1114,Commanche,C7102
2559,19,10,210,15,1358,213,219,142,4267,Rawah,C6731
3304,39,13,150,30,1167,220,211,123,3403,Neota,C7756
2991,193,15,134,26,1302,217,251,163,503,Commanche,C4758
2147,141,28,192,138,408,248,219,79,424,Cache,C2717
2750,87,25,240,118,240,247,191,58,768,Rawah,C7746
3011,246,13,390,125,6092,193,250,194,5040,Rawah,C7746
2955,229,5,306,10,4495,213,244,169,5770,Rawah,C4744
2933,259,16,42,5,2919,180,247,205,1116,Commanche,C4758
2810,339,9,361,37,1624,200,227,166,1231,Rawah,C4744
2765,24,6,285,98,2724,217,227,147,6645,Rawah,C4744
2883,267,27,210,116,2506,141,239,231,658,Commanche,C4758
3088,238,9,402,42,5819,204,248,182,1848,Rawah,C7201
2898,340,10,42,2,3289,200,226,165,1794,Rawah,C7745
2569,106,20,30,2,878,249,212,83,3296,Rawah,C7745
2734,319,10,270,72,1793,194,231,177,1764,Rawah,C7745
3039,33,31,218,29,1410,197,156,76,1426,Commanche,C7755
3273,336,9,150,40,1434,199,227,167,592,Rawah,C8771
3000,199,29,424,63,3603,196,249,170,1233,Commanche,C4758
2932,241,16,376,34,5613,189,251,199,5861,Rawah,C7745
3130,327,20,787,355,993,168,213,183,1550,Commanche,C7757
2938,313,17,150,42,3404,172,225,192,1604,Rawah,C7745
3242,262,5,849,169,1672,207,242,173,691,Commanche,C7700
2972,26,18,234,2,1121,209,199,122,765,Commanche,C7202
2926,231,19,108,36,5008,186,254,200,1266,Rawah,C7746
3061,25,26,210,25,2423,197,175,103,4282,Rawah,C7745
3155,20,27,402,79,607,190,172,107,1691,Commanche,C7757
3289,162,7,0,0,4683,227,242,148,537,Rawah,C7745
2855,140,30,120,21,993,248,216,73,1206,Commanche,C7757
2912,98,14,192,59,1410,242,220,105,2191,Commanche,C7755
2732,331,12,67,1,1489,190,224,173,1974,Rawah,C4744
3184,303,11,484,31,1731,190,235,185,324,Commanche,C7202
3153,127,12,30,5,1503,240,232,120,2391,Rawah,C7201
2424,343,30,90,23,457,147,180,163,626,Commanche,C4703
3195,324,2,400,45,4719,214,236,160,2365,Rawah,C7745
3237,78,6,67,2,5660,227,230,137,927,Rawah,C7201
2932,101,20,190,57,323,249,209,80,1461,Rawah,C7745
2936,291,10,60,11,2550,192,239,186,518,Commanche,C7757
2552,110,14,382,56,834,243,224,107,1218,Commanche,C2703
2909,98,21,120,42,6207,249,206,75,4273,Rawah,C7745
2864,62,9,30,3,2529,228,221,126,417,Commanche,C7202
2656,106,21,162,32,1273,250,210,79,361,Rawah,C7745
3223,206,9,268,43,503,215,249,169,918,Neota,C7202
2438,316,16,170,23,1415,175,224,189,511,Cache,C4703
2432,39,10,511,190,1410,221,219,132,607,Cache,C2717
3273,124,11,42,8,3684,238,232,124,3622,Rawah,C8771
2673,60,17,228,49,1236,231,202,99,426,Rawah,C7745
3131,270,2,674,76,1997,213,240,165,2546,Commanche,C7756
3129,144,13,218,16,3758,238,237,126,3035,Rawah,C7745
2846,0,10,30,4,2634,206,222,154,2439,Commanche,C7201
2884,219,13,306,118,2026,205,252,182,1677,Commanche,C4758
3213,323,7,607,76,2281,201,233,171,600,Commanche,C7202
3351,131,15,680,145,547,243,231,112,150,Neota,C8771
2700,346,18,67,19,1731,182,208,163,2300,Commanche,C4703
3379,101,14,150,16,2486,242,221,106,1154,Commanche,C8772
2985,15,8,218,20,5075,213,223,147,5742,Rawah,C4744
3090,70,25,42,17,5136,237,182,62,1507,Rawah,C7745
3077,149,13,295,43,6619,237,239,129,3178,Rawah,C7745
3213,323,27,255,37,2617,144,202,193,2701,Rawah,C8772
3123,90,9,433,17,3734,235,225,121,3684,Rawah,C7745
3197,66,16,648,280,1892,234,206,98,2650,Commanche,C7757
2915,162,10,300,65,3436,230,243,144,3615,Rawah,C7746
3100,359,44,240,24,1142,117,120,112,1570,Commanche,C7757
3170,135,4,201,8,4447,227,238,145,1052,Rawah,C7745
2975,105,11,382,44,1740,239,226,116,1754,Commanche,C7755
3503,308,11,391,43,5267,190,233,183,4350,Commanche,C8703
3315,56,17,457,-27,3376,229,201,99,1861,Commanche,C8772
2968,16,16,150,-6,4617,205,206,134,2365,Rawah,C7745
3256,45,9,90,5,759,223,220,131,2185,Rawah,C8771
2802,48,15,408,-7,1784,224,206,113,2348,Rawah,C4744
2941,78,7,67,2,2249,229,228,132,2105,Rawah,C7745
2870,165,21,150,65,2349,233,241,128,1138,Commanche,C4758
